"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"widespread",5.440,2,331347,83.759,14.578
"imbalance",5.440,1,156492,41.880,6.885
"functioning",5.420,1,157100,41.880,6.912
"accustom",5.410,1,157455,41.880,6.928
"substantial",5.400,4,686095,167.518,30.186
"translate",5.400,4,686276,167.518,30.194
"upright",5.400,1,157746,41.880,6.940
"subjective",5.400,1,157859,41.880,6.945
"advantage",5.360,14,2467058,586.314,108.544
"encouraging",5.340,1,159619,41.880,7.023
"kindly",5.330,1,160110,41.880,7.044
"term",5.330,32,5701426,1340.146,250.847
"neighbor",5.300,4,699769,167.518,30.788
"divide",5.280,5,883557,209.398,38.874
"Will",5.260,7,1249004,293.157,54.953
"machine",5.250,14,2517928,586.314,110.782
"endurance",5.250,1,162874,41.880,7.166
"unsure",5.230,1,163522,41.880,7.195
"prep",5.230,1,163726,41.880,7.203
"contribute",5.230,9,1620608,376.916,71.302
"bias",5.220,2,346640,83.759,15.251
"paradigm",5.200,1,164785,41.880,7.250
"sharing",5.200,2,347941,83.759,15.308
"Wikipedia",5.190,1,164979,41.880,7.259
"lab",5.180,3,532426,125.639,23.425
"token",5.180,1,165257,41.880,7.271
"conveniently",5.150,1,166601,41.880,7.330
"entice",5.140,1,167009,41.880,7.348
"Murphy",5.120,1,167639,41.880,7.376
"compliance",5.100,3,541414,125.639,23.821
"selling",5.090,2,355870,83.759,15.657
"tape",5.070,4,733192,167.518,32.258
"spec",5.040,1,170475,41.880,7.500
"Common",5.030,1,170993,41.880,7.523
"purchaser",5.020,1,171311,41.880,7.537
"requirement",5.000,14,2645493,586.314,116.394
"accessibility",4.990,1,172543,41.880,7.591
"principle",4.990,8,1508075,335.036,66.351
"commercial",4.980,10,1892637,418.796,83.271
"businessman",4.980,1,172916,41.880,7.608
"justification",4.980,1,173001,41.880,7.612
"exist",4.970,14,2663200,586.314,117.174
"revise",4.960,2,365505,83.759,16.081
"saying",4.960,1,173901,41.880,7.651
"Creative",4.960,1,173919,41.880,7.652
"author",4.950,13,2484235,544.434,109.300
"naturally",4.940,5,945103,209.398,41.582
"adequately",4.940,1,174546,41.880,7.680
"decorative",4.920,1,175292,41.880,7.712
"develop",4.870,35,6818054,1465.784,299.976
"impulse",4.860,1,177904,41.880,7.827
"surpass",4.850,1,178069,41.880,7.835
"interestingly",4.830,1,178937,41.880,7.873
"capitalism",4.830,1,179192,41.880,7.884
"Kindle",4.820,1,179314,41.880,7.889
"exclusively",4.820,2,377219,83.759,16.597
"explicit",4.800,1,180435,41.880,7.939
"wrong",4.770,14,2773931,586.314,122.045
"needed",4.760,1,182028,41.880,8.009
"subsequently",4.750,2,382855,83.759,16.845
"essential",4.740,10,1991862,418.796,87.636
"clerk",4.730,1,183238,41.880,8.062
"meaning",4.720,5,989520,209.398,43.536
"society",4.720,11,2201391,460.675,96.855
"hers",4.710,1,184048,41.880,8.098
"agreement",4.700,9,1806172,376.916,79.467
"OK",4.690,3,591299,125.639,26.016
"excuse",4.670,3,593049,125.639,26.093
"subtle",4.670,2,389491,83.759,17.137
"obstacle",4.650,2,391323,83.759,17.217
"exception",4.650,4,801501,167.518,35.264
"compression",4.640,1,187454,41.880,8.247
"defend",4.630,4,804404,167.518,35.392
"lump",4.630,1,187813,41.880,8.263
"unpleasant",4.600,1,189210,41.880,8.325
"everyone",4.580,20,4135399,837.591,181.946
"grant",4.570,9,1855639,376.916,81.643
"unhappy",4.570,1,190557,41.880,8.384
"mailing",4.550,1,191559,41.880,8.428
"inadequate",4.540,1,191769,41.880,8.437
"herd",4.530,1,192632,41.880,8.475
"Golden",4.520,2,403094,83.759,17.735
"consequence",4.500,5,1039040,209.398,45.715
"conscience",4.490,1,194152,41.880,8.542
"ideology",4.480,1,195000,41.880,8.579
"speaking",4.470,1,195281,41.880,8.592
"uphold",4.470,1,195353,41.880,8.595
"charge",4.450,19,4049222,795.712,178.155
"surprising",4.440,2,411181,83.759,18.091
"sell",4.430,24,5136505,1005.109,225.992
"uncertain",4.430,1,197496,41.880,8.689
"Guard",4.410,1,198171,41.880,8.719
"price",4.390,33,7133721,1382.025,313.864
"else",4.390,17,3672702,711.952,161.589
"replace",4.380,9,1937513,376.916,85.245
"flock",4.370,1,200091,41.880,8.803
"identical",4.360,2,419258,83.759,18.446
"Later",4.350,2,420000,83.759,18.479
"administrator",4.340,2,421238,83.759,18.533
"comply",4.320,2,422792,83.759,18.602
"run",4.310,48,10575555,2010.219,465.295
"plead",4.300,1,203759,41.880,8.965
"unexpected",4.300,2,425115,83.759,18.704
"Public",4.300,4,867770,167.518,38.180
"resign",4.290,1,204499,41.880,8.997
"change",4.280,60,13322631,2512.773,586.159
"productivity",4.270,2,428269,83.759,18.843
"theoretical",4.260,1,206102,41.880,9.068
"objection",4.250,1,206618,41.880,9.091
"meanwhile",4.250,3,654773,125.639,28.808
"publicity",4.240,1,207322,41.880,9.122
"kind",4.240,29,6500199,1214.507,285.991
"dislike",4.230,1,207504,41.880,9.130
"desperately",4.220,1,208200,41.880,9.160
"textbook",4.220,1,208312,41.880,9.165
"defender",4.220,1,208441,41.880,9.171
"frustrating",4.210,1,208499,41.880,9.173
"pirate",4.200,1,209168,41.880,9.203
"write",4.190,41,9288840,1717.062,408.684
"development",4.190,25,5664499,1046.989,249.222
"parallel",4.180,2,437994,83.759,19.271
"meaningful",4.180,2,438023,83.759,19.272
"ai",4.180,1,210568,41.880,9.264
"require",4.160,34,7767576,1423.905,341.752
"threat",4.110,5,1139698,209.398,50.144
"dash",4.110,1,214572,41.880,9.441
"Empire",4.100,1,214886,41.880,9.454
"productive",4.080,2,449595,83.759,19.781
"Mail",4.070,1,216787,41.880,9.538
"wherever",4.060,2,451270,83.759,19.855
"precede",4.060,1,217500,41.880,9.569
"diagram",4.050,1,217626,41.880,9.575
"Schools",4.050,1,217760,41.880,9.581
"confusing",4.050,1,218116,41.880,9.597
"convenience",4.040,2,454703,83.759,20.006
"spoil",4.030,1,218878,41.880,9.630
"pose",4.030,3,691706,125.639,30.433
"interpret",4.000,2,459429,83.759,20.214
"intent",3.990,2,460446,83.759,20.258
"outreach",3.980,1,222028,41.880,9.769
"evil",3.980,4,939477,167.518,41.334
"Lawrence",3.970,1,222916,41.880,9.808
"inevitably",3.960,1,223616,41.880,9.838
"moral",3.930,3,708919,125.639,31.190
"must",3.930,43,10388642,1800.821,457.072
"holder",3.920,2,468732,83.759,20.623
"list",3.920,26,6304370,1088.868,277.375
"advertise",3.910,2,469624,83.759,20.662
"supposedly",3.900,1,227478,41.880,10.008
"concerned",3.890,1,227621,41.880,10.015
"devote",3.890,2,472662,83.759,20.796
"conceal",3.890,1,227910,41.880,10.027
"advertising",3.880,5,1209040,209.398,53.194
"Environment",3.870,1,229417,41.880,10.094
"extend",3.860,6,1464274,251.277,64.424
"envelope",3.860,1,230054,41.880,10.122
"conquer",3.850,1,230186,41.880,10.128
"penny",3.840,1,230869,41.880,10.158
"destruction",3.820,2,481318,83.759,21.177
"spread",3.820,7,1727898,293.157,76.023
"explanation",3.810,3,731878,125.639,32.201
"organized",3.800,1,233752,41.880,10.284
"someone",3.790,21,5252924,879.471,231.114
"bait",3.790,1,234261,41.880,10.307
"justify",3.770,2,487679,83.759,21.457
"avoid",3.770,12,3015430,502.555,132.671
"completion",3.750,2,490948,83.759,21.600
"regulation",3.750,5,1252988,209.398,55.128
"lure",3.740,1,237610,41.880,10.454
"B",3.730,5,1259829,209.398,55.429
"accompany",3.720,3,751463,125.639,33.062
"delete",3.720,2,495515,83.759,21.801
"greatly",3.710,3,753097,125.639,33.134
"principal",3.700,3,754558,125.639,33.198
"sufficient",3.700,3,755612,125.639,33.245
"Computer",3.690,1,241150,41.880,10.610
"release",3.690,19,4881222,795.712,214.760
"popularity",3.690,2,498993,83.759,21.954
"wish",3.690,13,3335922,544.434,146.771
"carefully",3.690,4,1015488,167.518,44.679
"spare",3.660,2,503822,83.759,22.167
"leisure",3.660,1,243819,41.880,10.727
"manufacturer",3.650,5,1288563,209.398,56.693
"improvement",3.650,6,1549930,251.277,68.193
"sometimes",3.640,15,3901513,628.193,171.656
"edit",3.620,4,1035243,167.518,45.548
"operator",3.600,3,776454,125.639,34.162
"rather",3.600,19,5005901,795.712,220.246
"educational",3.570,4,1049894,167.518,46.192
"collapse",3.570,2,517629,83.759,22.774
"render",3.530,2,522427,83.759,22.985
"competent",3.530,1,253423,41.880,11.150
"distract",3.510,1,254872,41.880,11.214
"counterpart",3.500,1,255874,41.880,11.258
"incur",3.490,1,256208,41.880,11.272
"collection",3.490,9,2435764,376.916,107.167
"anticipate",3.480,2,530753,83.759,23.352
"contemplate",3.470,1,258485,41.880,11.373
"disadvantage",3.470,1,258500,41.880,11.373
"task",3.460,8,2182020,335.036,96.003
"mail",3.460,4,1084771,167.518,47.727
"precisely",3.440,2,537096,83.759,23.631
"contribution",3.440,4,1090895,167.518,47.996
"scratch",3.430,2,538207,83.759,23.680
"Harvard",3.430,1,261067,41.880,11.486
"poorly",3.430,1,261254,41.880,11.494
"overhead",3.410,1,263066,41.880,11.574
"problem",3.410,35,9754330,1465.784,429.164
"judge",3.410,6,1659886,251.277,73.030
"substantially",3.400,1,263899,41.880,11.611
"input",3.390,3,825880,125.639,36.336
"endorse",3.390,1,264926,41.880,11.656
"fame",3.390,1,265059,41.880,11.662
"arrangement",3.380,3,827794,125.639,36.421
"Flash",3.380,1,265391,41.880,11.676
"mean",3.360,39,11035548,1633.303,485.534
"condemn",3.350,1,267895,41.880,11.787
"conflict",3.350,4,1120384,167.518,49.294
"imply",3.350,2,552799,83.759,24.322
"lesser",3.340,1,269174,41.880,11.843
"subsequent",3.340,2,554335,83.759,24.389
"interpretation",3.340,2,554405,83.759,24.392
"whoever",3.330,1,269744,41.880,11.868
"minor",3.330,3,841100,125.639,37.006
"anxious",3.330,1,269821,41.880,11.871
"surrender",3.330,1,269834,41.880,11.872
"neat",3.320,1,270406,41.880,11.897
"Model",3.320,1,270480,41.880,11.900
"job",3.320,26,7447420,1088.868,327.666
"loyal",3.310,1,271795,41.880,11.958
"interfere",3.300,1,272552,41.880,11.992
"fund",3.290,11,3162079,460.675,139.123
"rule",3.290,13,3741746,544.434,164.627
"instance",3.290,6,1719251,251.277,75.642
"desirable",3.290,1,273419,41.880,12.030
"required",3.290,1,273806,41.880,12.047
"editor",3.290,4,1142799,167.518,50.280
"allocate",3.280,1,274517,41.880,12.078
"coordinate",3.270,2,565949,83.759,24.900
"decide",3.270,17,4928998,711.952,216.862
"corresponding",3.270,1,275307,41.880,12.113
"corrupt",3.240,1,277799,41.880,12.222
"use",3.230,155,45637225,6491.331,2007.913
"combination",3.220,5,1463689,209.398,64.398
"handling",3.210,1,280523,41.880,12.342
"counseling",3.210,1,280805,41.880,12.355
"internationally",3.200,1,281727,41.880,12.395
"anyone",3.200,12,3555790,502.555,156.445
"text",3.190,8,2367789,335.036,104.176
"invention",3.190,1,282316,41.880,12.421
"sanction",3.190,1,282353,41.880,12.423
"shortage",3.190,1,282620,41.880,12.435
"litigation",3.190,1,282984,41.880,12.451
"font",3.190,1,283015,41.880,12.452
"promise",3.190,6,1777095,251.277,78.187
"correction",3.160,1,285324,41.880,12.553
"domain",3.150,3,890665,125.639,39.187
"cooking",3.150,2,589314,83.759,25.928
"trademark",3.140,1,287248,41.880,12.638
"without",3.120,34,10350210,1423.905,455.381
"Whenever",3.120,1,289740,41.880,12.748
"secondary",3.120,2,595261,83.759,26.190
"support",3.110,34,10386604,1423.905,456.982
"norm",3.100,1,291315,41.880,12.817
"combine",3.100,6,1827844,251.277,80.420
"whole",3.100,16,4901143,670.073,215.637
"convenient",3.090,2,600387,83.759,26.415
"money",3.080,27,8331338,1130.748,366.556
"salary",3.050,2,608746,83.759,26.783
"lack",3.040,8,2485738,335.036,109.366
"Must",3.040,1,298312,41.880,13.125
"bug",3.030,2,612942,83.759,26.968
"conclude",3.030,3,928581,125.639,40.855
"notable",3.020,1,299563,41.880,13.180
"goal",3.010,13,4090205,544.434,179.958
"ours",3.010,1,301544,41.880,13.267
"Today",3.000,1,301707,41.880,13.274
"language",2.990,9,2850634,376.916,125.420
"Dutch",2.990,1,303397,41.880,13.349
"unusual",2.980,2,622985,83.759,27.410
"straightforward",2.980,1,304510,41.880,13.398
"yours",2.970,2,625906,83.759,27.538
"legally",2.970,1,305480,41.880,13.440
"breathing",2.960,1,306125,41.880,13.469
"logo",2.960,2,627500,83.759,27.608
"various",2.950,13,4183795,544.434,184.076
"briefly",2.950,1,308099,41.880,13.556
"suitable",2.930,3,958233,125.639,42.160
"example",2.920,21,6819739,879.471,300.050
"way",2.920,75,24403867,3140.967,1073.703
"refer",2.920,7,2266522,293.157,99.721
"Tax",2.920,1,311293,41.880,13.696
"pay",2.910,28,9157024,1172.628,402.884
"necessary",2.900,9,2942354,376.916,129.456
"ridiculous",2.890,1,314087,41.880,13.819
"fellow",2.870,3,979625,125.639,43.101
"partly",2.860,1,318403,41.880,14.009
"matter",2.850,15,4986493,628.193,219.392
"word",2.840,21,7015525,879.471,308.664
"Microsoft",2.840,3,990809,125.639,43.593
"desperate",2.840,1,320607,41.880,14.106
"issue",2.820,27,9088161,1130.748,399.854
"Utah",2.820,1,322614,41.880,14.194
"faster",2.810,2,663211,83.759,29.179
"describe",2.800,9,3043061,376.916,133.886
"specify",2.790,2,667502,83.759,29.368
"instead",2.780,12,4098049,502.555,180.303
"customize",2.770,1,328714,41.880,14.463
"therefore",2.770,9,3079905,376.916,135.507
"central",2.760,4,1363600,167.518,59.995
"original",2.760,9,3089245,376.916,135.918
"basis",2.750,6,2063408,251.277,90.784
"invent",2.740,1,332468,41.880,14.628
"eager",2.740,1,333333,41.880,14.666
"thumb",2.730,1,334463,41.880,14.715
"realm",2.730,1,334628,41.880,14.723
"regardless",2.720,3,1035075,125.639,45.540
"publishing",2.710,1,337057,41.880,14.830
"beg",2.710,1,337132,41.880,14.833
"anonymous",2.710,1,337163,41.880,14.834
"particular",2.710,13,4557371,544.434,200.512
"whether",2.710,16,5614053,670.073,247.003
"banner",2.700,1,338462,41.880,14.891
"related",2.700,3,1045262,125.639,45.989
"competition",2.690,5,1755677,209.398,77.245
"nonetheless",2.680,1,340431,41.880,14.978
"ethic",2.680,1,341058,41.880,15.006
"disclose",2.680,1,341517,41.880,15.026
"available",2.670,23,8170950,963.230,359.499
"aside",2.670,3,1056537,125.639,46.485
"combined",2.640,1,346020,41.880,15.224
"blanket",2.640,1,346114,41.880,15.228
"obtain",2.630,7,2514879,293.157,110.648
"commence",2.630,1,347499,41.880,15.289
"wealthy",2.630,1,347847,41.880,15.304
"packaging",2.620,1,349042,41.880,15.357
"charity",2.620,2,713284,83.759,31.383
"disappear",2.620,2,713380,83.759,31.387
"rely",2.610,3,1078395,125.639,47.446
"evident",2.610,1,350116,41.880,15.404
"horrible",2.610,1,350233,41.880,15.409
"intention",2.610,2,714625,83.759,31.442
"artificial",2.600,1,352754,41.880,15.520
"cease",2.590,1,354206,41.880,15.584
"profitable",2.580,1,355357,41.880,15.635
"them",2.570,87,32180853,3643.521,1415.869
"choice",2.570,11,4068197,460.675,178.990
"enable",2.560,6,2215877,251.277,97.493
"distinction",2.560,1,358224,41.880,15.761
"essentially",2.540,2,734283,83.759,32.306
"certain",2.540,11,4107632,460.675,180.725
"inquiry",2.540,1,361029,41.880,15.884
"badly",2.540,1,361400,41.880,15.901
"existing",2.510,3,1123382,125.639,49.426
"vendor",2.510,2,745281,83.759,32.790
"appreciation",2.500,1,366878,41.880,16.142
"anywhere",2.500,3,1128000,125.639,49.629
"spirit",2.500,5,1889850,209.398,83.148
"Windows",2.490,3,1134069,125.639,49.896
"generator",2.480,1,369912,41.880,16.275
"profit",2.470,4,1527252,167.518,67.195
"disagree",2.470,1,372503,41.880,16.389
"movement",2.460,6,2305123,251.277,101.419
"article",2.460,13,5012886,544.434,220.553
"bulk",2.460,1,373282,41.880,16.423
"Constitution",2.460,1,373867,41.880,16.449
"era",2.450,2,762928,83.759,33.567
"myself",2.450,8,3093604,335.036,136.110
"robot",2.440,1,376187,41.880,16.551
"maximize",2.420,1,379240,41.880,16.686
"advocate",2.410,2,774999,83.759,34.098
"adopt",2.410,3,1172405,125.639,51.583
"notify",2.410,1,381981,41.880,16.806
"share",2.410,17,6713750,711.952,295.387
"engineering",2.400,2,778621,83.759,34.257
"precise",2.390,1,384392,41.880,16.912
"other",2.390,99,39362901,4146.076,1731.860
"mutual",2.390,1,385840,41.880,16.976
"specific",2.380,9,3589406,376.916,157.924
"complexity",2.370,1,388215,41.880,17.080
"pretend",2.370,1,388363,41.880,17.087
"optimize",2.370,1,388514,41.880,17.094
"considerably",2.370,1,389320,41.880,17.129
"prohibit",2.360,1,389764,41.880,17.149
"innocent",2.360,1,390036,41.880,17.161
"project",2.360,19,7648929,795.712,336.532
"common",2.360,10,4020738,418.796,176.901
"necessarily",2.360,2,793744,83.759,34.923
"possible",2.350,15,6075420,628.193,267.302
"complete",2.340,14,5689614,586.314,250.327
"rally",2.340,1,394536,41.880,17.359
