"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"destructiveness",37.280,1,3414,41.880,0.150
"Infringement",37.120,1,3524,41.880,0.155
"aliasing",37.020,1,3597,41.880,0.158
"depopulate",37.000,1,3610,41.880,0.159
"gzip",36.840,1,3723,41.880,0.164
"Hackers",36.500,1,3971,41.880,0.175
"paradigmatic",36.270,1,4143,41.880,0.182
"derisively",36.180,1,4210,41.880,0.185
"intolerable",36.070,2,30684,83.759,1.350
"Substitute",36.070,1,4294,41.880,0.189
"binary",35.730,7,164400,293.157,7.233
"Definition",35.270,2,31890,83.759,1.403
"injustice",35.270,6,139854,251.277,6.153
"free",35.220,315,8490261,13192.060,373.548
"Priority",35.150,2,32079,83.759,1.411
"microcomputer",35.050,1,5079,41.880,0.223
"Avoiding",34.840,1,5244,41.880,0.231
"Pascal",34.810,2,32620,83.759,1.435
"clarify",34.690,12,307214,502.555,13.517
"README",34.420,1,5587,41.880,0.246
"Translations",34.220,1,5750,41.880,0.253
"Contribute",34.030,1,5910,41.880,0.260
"Nowadays",33.910,1,6009,41.880,0.264
"distribution",33.500,35,972451,1465.784,42.785
"tinker",33.290,2,35146,83.759,1.546
"Free",33.190,31,866911,1298.266,38.142
"unacceptably",33.150,1,6674,41.880,0.294
"cooperate",33.120,7,179120,293.157,7.881
"inequitable",32.670,1,7107,41.880,0.313
"Perl",32.550,3,65705,125.639,2.891
"noncommercial",32.530,1,7231,41.880,0.318
"linker",32.430,1,7320,41.880,0.322
"modify",32.310,23,655631,963.230,28.846
"cannibalize",32.150,1,7590,41.880,0.334
"Hangouts",31.740,1,7975,41.880,0.351
"unmodified",31.480,1,8228,41.880,0.362
"VMS",31.420,1,8290,41.880,0.365
"Bushnell",31.270,1,8443,41.880,0.371
"wo",30.960,2,39496,83.759,1.738
"copy",30.760,68,2082462,2847.810,91.623
"SHOP",30.700,1,9015,41.880,0.397
"amoral",30.590,1,9135,41.880,0.402
"wording",30.570,4,102582,167.518,4.513
"gnome",30.560,2,40312,83.759,1.774
"Hacking",29.960,1,9796,41.880,0.431
"acronym",29.880,3,73604,125.639,3.238
"hoarder",29.570,1,10233,41.880,0.450
"compressed",29.520,2,42531,83.759,1.871
"Easily",29.470,1,10340,41.880,0.455
"copying",28.910,2,43898,83.759,1.931
"usable",28.890,4,109852,167.518,4.833
"isometric",28.420,1,11564,41.880,0.509
"lockdown",28.220,1,11812,41.880,0.520
"debug",28.200,3,79334,125.639,3.490
"Words",28.180,2,45646,83.759,2.008
"culpable",27.990,1,12094,41.880,0.532
"acceptable",27.770,15,492318,628.193,21.661
"patent",27.670,17,562968,711.952,24.769
"commonsense",27.650,1,12514,41.880,0.551
"aphorism",27.610,1,12573,41.880,0.553
